"id","period","stage","possession","run_type","minute","min_speed","max_speed","distance","player_appearance_id"
739477,"half_1","bottom",2413,"sprint",1,"7.02","7.68","17.280461016949154",42220
739478,"half_1","bottom",2413,"hsr",1,"5.59","6.97","5.0605714285714285",42220
739479,"half_1","middle",2413,"hsr",1,"5.51","5.64","5.371008000000002",42220
739480,"half_1","middle",2412,"hsr",2,"4.05","6.99","6.049152000000001",42220
739481,"half_1","bottom",2412,"hsr",5,"5.54","6.55","15.907839999999998",42220
739482,"half_1","middle",2413,"hsr",6,"4.05","6.63","12.697038461538462",42220
739483,"half_1","middle",2413,"hsr",7,"4.03","6","8.15811111111111",42220
739484,"half_1","top",2413,"hsr",9,"4.09","6.42","14.940590163934427",42220
739485,"half_1","bottom",2413,"hsr",13,"5.51","5.86","9.63655813953488",42220
739486,"half_1","middle",2413,"hsr",13,"5.52","5.74","8.152735135135135",42220
739487,"half_1","middle",2412,"hsr",14,"5.52","6.76","16.344151515151516",42220
739526,"half_2","middle",2412,"hsr",27,"5.51","5.72","7.223078787878787",42220
739489,"half_1","bottom",2412,"hsr",22,"5.52","6.45","15.573858461538462",42220
739490,"half_1","bottom",2413,"hsr",22,"5.51","5.65","4.931826086956521",42220
739491,"half_1","bottom",2413,"hsr",30,"5.52","6.14","10.418026666666668",42220
739492,"half_1","bottom",2412,"hsr",32,"5.55","7.11","18.25876056338028",42220
739493,"half_1","middle",2412,"hsr",35,"5.51","5.78","8.181924324324324",42220
739494,"half_1","middle",2412,"hsr",38,"4.08","6.96","4.537515789473685",42220
739495,"half_1","middle",2412,"sprint",38,"7.02","7.54","14.68",42220
739496,"half_1","middle",2413,"sprint",38,"5.55","7.5","10.559481081081081",42220
739497,"half_1","middle",2413,"hsr",38,"5.58","6.99","5.56313043478261",42220
739498,"half_1","bottom",2412,"hsr",38,"5.57","7.05","30.287575221238935",42220
739500,"half_1","middle",2412,"hsr",42,"4.1","7.22","17.45985671641791",42220
739501,"half_1","middle",2412,"sprint",42,"7.03","7.22","6.003327272727272",42220
739502,"half_1","middle",2412,"hsr",44,"5.51","5.62","4.463238095238094",42220
739503,"half_1","bottom",2412,"hsr",45,"4.07","7.1","14.354607142857141",42220
739504,"half_1","middle",2413,"sprint",46,"5.56","8.67","21.07772727272727",42220
739527,"half_2","middle",2413,"hsr",27,"4.05","5.98","7.44649696969697",42220
739510,"half_2","top",2412,"hsr",4,"4.01","6.41","14.396393333333336",42220
739511,"half_2","bottom",2412,"sprint",5,"7.01","8","17.403082758620688",42220
739512,"half_2","middle",2412,"sprint",9,"7.04","7.62","13.34113043478261",42220
739513,"half_2","middle",2412,"hsr",9,"4.11","6.98","4.287400000000001",42220
739514,"half_2","middle",2412,"hsr",9,"5.51","7","7.539096774193548",42220
739515,"half_2","bottom",2412,"sprint",9,"5.54","8.26","17.209500000000002",42220
739516,"half_2","bottom",2412,"sprint",12,"5.51","8.22","18.725114754098357",42220
739517,"half_2","bottom",2412,"hsr",12,"5.55","6.99","5.24350909090909",42220
739518,"half_2","middle",2412,"hsr",18,"5.53","6.29","14.67345161290322",42220
739519,"half_2","middle",2413,"hsr",19,"4.02","6","6.763573333333335",42220
739520,"half_2","middle",2413,"hsr",23,"5.53","6.52","16.469782352941177",42220
739521,"half_2","bottom",2412,"hsr",25,"5.51","6.37","14.573901639344264",42220
739522,"half_2","bottom",2412,"hsr",25,"5.52","6.91","16.921611940298508",42220
739523,"half_2","bottom",2412,"hsr",25,"4.08","6.22","9.57580487804878",42220
739524,"half_2","middle",2412,"hsr",30,"4.06","7","7.884850000000001",42220
739525,"half_2","bottom",2412,"hsr",30,"5.52","6.95","5.730066666666666",42220
739528,"half_2","middle",2412,"hsr",27,"4.08","6.54","21.149278160919543",42220
739529,"half_2","bottom",2413,"hsr",29,"5.51","5.66","5.384831999999999",42220
739530,"half_2","bottom",2412,"sprint",30,"7.01","8.36","38.236",42220
739531,"half_2","bottom",2412,"hsr",31,"4.05","6.69","10.05190243902439",42220
739532,"half_2","middle",2412,"hsr",32,"4.01","6.71","23.234649462365592",42220
739533,"half_2","middle",2412,"hsr",43,"5.51","5.72","5.414784",42220
739534,"half_2","middle",2412,"hsr",43,"5.4","5.68","12.160892857142855",42220
739535,"half_2","bottom",2412,"hsr",43,"5.52","5.95","33.308292413793104",42220
739536,"half_2","middle",2412,"hsr",46,"5.51","6.98","11.5949",42220
739537,"half_2","middle",2412,"sprint",46,"7.01","7.27","9.189236363636363",42220
715042,"half_1","top",2370,"hsr",35,"5.51","7","5.8903",41332
715028,"half_1","bottom",2371,"hsr",2,"5.51","6.99","6.612474074074075",41332
715026,"half_1","bottom",2371,"hsr",2,"4.04","7","7.383786666666667",41332
715027,"half_1","bottom",2371,"sprint",2,"7.02","7.22","8.008772413793103",41332
715029,"half_1","top",2370,"hsr",4,"4.02","6.88","28.979791304347824",41332
715030,"half_1","middle",2371,"hsr",5,"4.13","7.11","20.22177948717949",41332
715031,"half_1","middle",2370,"sprint",8,"5.56","7.89","19.17129375",41332
715032,"half_1","top",2370,"hsr",9,"4.02","6.37","14.774987096774193",41332
715033,"half_1","bottom",2371,"hsr",13,"5.51","6.97","17.759811428571428",41332
715034,"half_1","bottom",2371,"hsr",21,"4.04","6.53","12.612692307692303",41332
715035,"half_1","middle",2370,"hsr",30,"4.09","6.44","12.95241481481481",41332
715036,"half_1","top",2370,"hsr",31,"4.09","6.15","9.44819512195122",41332
715037,"half_1","middle",2371,"hsr",31,"5.53","6","14.680575000000001",41332
715038,"half_1","middle",2371,"hsr",32,"5.51","6.54","10.620609090909088",41332
715039,"half_1","middle",2370,"hsr",33,"4.08","5.91","7.153249999999999",41332
715040,"half_1","top",2370,"hsr",35,"4.04","7","25.5117918367347",41332
715041,"half_1","top",2370,"sprint",35,"7.01","7.15","7.949296551724139",41332
715043,"half_1","middle",2371,"hsr",35,"5.51","5.93","29.748987692307693",41332
715044,"half_1","top",2370,"hsr",36,"4.06","7.14","21.20461463414634",41332
715045,"half_1","top",2370,"sprint",36,"7.01","7.14","5.672000000000001",41332
715046,"half_1","middle",2371,"hsr",43,"5.53","6.11","10.39573333333333",41332
715047,"half_1","middle",2371,"hsr",41,"5.51","5.78","20.004278651685393",41332
715048,"half_1","bottom",2371,"hsr",46,"5.3","5.87","6.436137931034483",41332
715049,"half_1","bottom",2371,"hsr",46,"4.11","7","4.0730352941176475",41332
715050,"half_1","middle",2371,"sprint",46,"7.03","7.5","22.199501298701303",41332
715051,"half_1","middle",2371,"hsr",46,"5.56","7","6.658311111111113",41332
679684,"half_2","middle",2295,"sprint",40,"7.02","7.23","10.0205",39675
679685,"half_2","middle",2295,"hsr",40,"5.53","7","12.347608000000001",39675
679686,"half_2","middle",2294,"hsr",37,"5.56","6.41","9.756878048780488",39675
679687,"half_2","top",2294,"hsr",38,"5.53","5.78","4.5550476190476195",39675
679688,"half_2","top",2295,"hsr",39,"5.51","6.12","10.629000000000001",39675
679689,"half_2","top",2295,"hsr",40,"5.54","7","21.501494505494506",39675
679690,"half_2","middle",2294,"hsr",44,"4.02","6.19","11.420081632653062",39675
679691,"half_2","middle",2295,"hsr",44,"4.07","7.08","14.328285714285716",39675
679692,"half_2","middle",2294,"hsr",45,"4.09","6.24","11.240833333333335",39675
679693,"half_2","middle",2295,"hsr",46,"4.01","6.86","14.32263859649123",39675
679694,"half_2","bottom",2294,"hsr",48,"4.08","6.5","10.349581395348837",39675
679695,"half_2","top",2295,"hsr",49,"5.51","5.99","24.306285714285714",39675
679696,"half_2","bottom",2294,"hsr",50,"4.05","6.38","16.38031304347826",39675
721643,"half_2","top",2380,"hsr",49,"4.08","6.97","6.717985714285714",41581
721635,"half_2","middle",2380,"hsr",43,"4.06","6.46","13.262007272727274",41581
721636,"half_2","top",2381,"sprint",44,"7.01","8.05","23.03605263157895",41581
721637,"half_2","middle",2380,"hsr",43,"5.52","6.24","9.812666666666667",41581
721638,"half_2","middle",2380,"hsr",44,"5.51","5.94","9.506533333333334",41581
721639,"half_2","middle",2381,"hsr",44,"5.56","6.97","7.0811034482758615",41581
721640,"half_2","bottom",2380,"hsr",45,"5.52","6.34","12.082745098039219",41581
721641,"half_2","top",2381,"hsr",46,"5.51","5.93","9.241756097560977",41581
721642,"half_2","bottom",2380,"hsr",46,"5.51","5.92","15.477394117647059",41581
731797,"half_2","middle",2398,"hsr",16,"5.51","5.61","7.135418181818181",41903
731798,"half_2","top",2398,"hsr",19,"4.09","6.11","15.399484848484846",41903
731799,"half_2","top",2398,"hsr",20,"5.51","6.56","13.601107142857142",41903
731800,"half_2","bottom",2399,"hsr",23,"5.51","7.08","23.27817634408602",41903
731801,"half_2","bottom",2399,"hsr",22,"5.54","6.64","22.0510202247191",41903
731802,"half_2","top",2399,"hsr",28,"5.57","7.13","14.68261052631579",41903
731803,"half_2","bottom",2399,"hsr",29,"5.51","5.85","7.561270588235294",41903
731804,"half_2","middle",2399,"hsr",30,"5.51","5.73","5.653846153846155",41903
731805,"half_2","middle",2399,"hsr",31,"4.08","6.98","6.376538461538461",41903
731806,"half_2","middle",2399,"sprint",31,"7.01","7.16","8.245280000000001",41903
731807,"half_2","middle",2399,"hsr",31,"5.54","7","32.96970746268657",41903
731815,"half_2","top",2399,"hsr",43,"4.06","6.73","19.431641025641028",41903
731817,"half_2","bottom",2399,"sprint",43,"7.01","7.95","24.71882926829268",41903
731808,"half_2","top",2398,"hsr",31,"5.51","6.23","25.5944",41903
731809,"half_2","top",2399,"hsr",36,"5.52","5.88","7.138137499999999",41903
731810,"half_2","bottom",2399,"hsr",37,"4.05","6.96","5.556243478260869",41903
731811,"half_2","bottom",2399,"sprint",37,"7.01","7.31","7.490311111111111",41903
731812,"half_2","bottom",2399,"hsr",38,"5.52","6.3","11.57172244897959",41903
731813,"half_2","bottom",2399,"hsr",38,"5.54","6.48","13.283607272727272",41903
731814,"half_2","top",2399,"hsr",40,"5.51","5.77","7.494882352941176",41903
731816,"half_2","bottom",2399,"hsr",43,"4.08","6.98","6.824442857142858",41903
731818,"half_2","bottom",2399,"hsr",44,"5.53","6.81","25.485544554455444",41903
731819,"half_2","top",2398,"hsr",45,"5.51","5.7","7.211442424242424",41903
731820,"half_2","bottom",2399,"hsr",45,"5.51","6.2","21.656021739130434",41903
731821,"half_2","bottom",2399,"hsr",45,"4.04","6.74","13.365422222222225",41903
731822,"half_2","bottom",2399,"hsr",49,"5.51","5.75","6.117428571428571",41903
1322473,"half_1","middle",3750,"hsr",1,"5.49","6.44","320.0036",65530
1322474,"half_1","top",3750,"hsr",1,"5.52","6.63","262.908",65530
1322475,"half_1","middle",3750,"hsr",4,"5.49","6.09","261.9008",65530
1322476,"half_1","bottom",3750,"hsr",5,"5.44","5.62","193.4012",65530
1322477,"half_1","top",3750,"hsr",7,"5.52","6.18","222.3828",65530
1322478,"half_1","bottom",3750,"hsr",12,"5.46","5.75","207.22639999999998",65530
1322479,"half_1","bottom",3751,"hsr",15,"5.43","5.66","188.4744",65530
1322480,"half_1","bottom",3751,"sprint",22,"6.95","7.52","459.636",65530
1322481,"half_1","bottom",3751,"hsr",21,"5.48","6.25","534.904",65530
1322482,"half_1","middle",3751,"hsr",22,"5.47","6.93","187.594",65530
1322483,"half_1","bottom",3751,"hsr",22,"5.5","6.9","136.8664",65530
1322484,"half_1","top",3750,"hsr",24,"5.43","5.67","188.79719999999998",65530
1322485,"half_1","bottom",3751,"sprint",27,"6.98","7.72","279.7688",65530
1322486,"half_1","top",3750,"sprint",30,"6.93","9.33","1352.0739999999998",65530
1322487,"half_1","middle",3751,"hsr",27,"5.48","5.66","127.1288",65530
1322488,"half_1","middle",3750,"hsr",30,"5.41","6.89","233.4344",65530
1322489,"half_1","top",3750,"hsr",30,"5.45","6.92","161.798",65530
1322490,"half_1","bottom",3751,"sprint",35,"7.05","7.6","211.08159999999998",65530
1322491,"half_1","top",3751,"hsr",33,"5.43","5.59","153.9804",65530
1322492,"half_1","bottom",3751,"sprint",44,"6.89","7.82","401.1424",65530
1322493,"half_1","top",3750,"hsr",43,"5.4","5.66","471.0192",65530
1322494,"half_1","bottom",3751,"hsr",44,"5.36","6.87","216.2772",65530
1322495,"half_1","bottom",3751,"hsr",44,"5.5","6.84","377.846",65530
1322496,"half_1","bottom",3751,"hsr",47,"5.44","6.31","290.9728",65530
1322497,"half_2","bottom",3751,"hsr",2,"5.52","6.47","277.8288",65530
1322498,"half_2","bottom",3751,"hsr",3,"5.47","6.99","577.4448",65530
1322499,"half_2","top",3751,"hsr",3,"5.39","6.15","584.1648",65530
1322500,"half_2","bottom",3751,"hsr",6,"5.51","6.86","294.302",65530
1322501,"half_2","bottom",3751,"hsr",8,"5.51","7.12","705.0448",65530
1322502,"half_2","bottom",3751,"sprint",12,"6.94","7.07","167.562",65530
1322503,"half_2","bottom",3751,"hsr",12,"5.46","6.92","238.12760000000003",65530
1322504,"half_2","bottom",3751,"hsr",12,"5.43","6.94","200.4872",65530
1322505,"half_2","middle",3750,"sprint",18,"6.96","9.44","1673.4555999999998",65530
1322506,"half_2","middle",3750,"hsr",18,"5.45","6.91","167.4216",65530
1322507,"half_2","top",3751,"hsr",20,"5.42","6.95","432.0088",65530
1322508,"half_2","middle",3751,"sprint",21,"6.93","7.29","371.1564",65530
1322509,"half_2","bottom",3751,"sprint",25,"6.96","7.49","584.4428",65530
1322510,"half_2","middle",3751,"hsr",21,"5.44","6.91","211.978",65530
1322511,"half_2","bottom",3751,"hsr",21,"5.41","6.9","259.1064",65530
1322512,"half_2","bottom",3751,"hsr",22,"5.51","6.22","217.0272",65530
1322513,"half_2","top",3751,"hsr",25,"5.42","6.75","359.6932",65530
1322514,"half_2","middle",3751,"hsr",25,"5.46","6.93","174.9444",65530
1322515,"half_2","bottom",3750,"hsr",25,"5.44","6.92","149.1772",65530
1322516,"half_2","middle",3751,"hsr",27,"5.42","6.18","478.1132",65530
1322517,"half_2","middle",3751,"hsr",29,"5.45","6.83","331.37600000000003",65530
1322518,"half_2","middle",3750,"hsr",32,"5.42","6.03","317.5684",65530
1322519,"half_2","top",3750,"hsr",32,"5.38","6.86","393.2836",65530
1322520,"half_2","top",3751,"hsr",34,"5.48","6.08","249.62120000000002",65530
1322521,"half_2","bottom",3751,"hsr",37,"5.43","6.61","517.3372",65530
1322522,"half_2","middle",3751,"hsr",41,"5.42","6.23","849.2564",65530
1322523,"half_2","middle",3750,"hsr",45,"5.41","6.48","350.5388",65530
1322524,"half_2","middle",3750,"hsr",46,"5.51","5.82","134.5292",65530
711687,"half_2","middle",2363,"hsr",46,"5.52","5.68","6.52384",41176
711688,"half_2","bottom",2362,"hsr",50,"4.04","6.91","19.45363116883117",41176
704418,"half_2","middle",2347,"hsr",26,"5.51","5.88","8.507663157894736",40810
704375,"half_1","top",2346,"hsr",1,"5.53","5.79","6.6069733333333325",40810
704376,"half_1","middle",2346,"hsr",2,"5.51","5.72","7.221527272727273",40810
704377,"half_1","top",2346,"hsr",5,"5.51","5.64","16.99675844155844",40810
704378,"half_1","middle",2347,"hsr",5,"5.51","5.88","6.462786206896554",40810
704379,"half_1","middle",2346,"hsr",7,"5.51","5.64","4.70170909090909",40810
704380,"half_1","bottom",2347,"hsr",8,"5.51","6.06","14.07501639344262",40810
704381,"half_1","middle",2346,"hsr",9,"5.51","6.05","11.913599999999999",40810
704382,"half_1","top",2346,"hsr",10,"5.52","6.05","12.884142857142855",40810
704383,"half_1","top",2347,"hsr",10,"4.03","6.42","12.646400000000002",40810
704384,"half_1","bottom",2347,"hsr",12,"5.51","6.58","25.060706796116506",40810
704385,"half_1","middle",2347,"hsr",15,"5.51","6.38","13.852572413793105",40810
704410,"half_2","top",2347,"hsr",2,"5.54","6.02","9.356487804878048",40810
704386,"half_1","bottom",2347,"hsr",20,"5.56","6.47","11.397038297872337",40810
704387,"half_1","bottom",2347,"hsr",21,"4.02","6.53","22.670869565217394",40810
704388,"half_1","bottom",2346,"hsr",22,"5.51","7.23","12.93357037037037",40810
704389,"half_1","bottom",2347,"hsr",23,"5.52","6.91","5.6461565217391305",40810
704390,"half_1","middle",2346,"hsr",24,"5.51","7","10.928645454545453",40810
704391,"half_1","middle",2346,"sprint",24,"7.01","7.37","24.979144827586207",40810
704392,"half_1","top",2346,"hsr",24,"5.52","6.98","8.154375757575758",40810
704393,"half_1","bottom",2347,"hsr",28,"4.03","6.38","11.183676595744684",40810
704394,"half_1","middle",2347,"hsr",32,"4.11","7","7.545677419354838",40810
704395,"half_1","middle",2347,"sprint",32,"7.02","7.6","15.893672727272724",40810
704396,"half_1","bottom",2347,"hsr",32,"5.55","6.99","7.601032258064517",40810
704397,"half_1","top",2346,"hsr",35,"5.52","6.98","6.324999999999999",40810
704398,"half_1","top",2346,"sprint",35,"7.02","7.43","13.996799999999999",40810
704399,"half_1","top",2346,"hsr",35,"5.57","6.99","6.371923076923077",40810
704400,"half_1","top",2347,"hsr",37,"5.53","6.98","11.900008333333336",40810
704401,"half_1","middle",2347,"sprint",37,"7.01","7.45","13.998367346938776",40810
704402,"half_1","middle",2347,"hsr",37,"5.53","6.96","5.316054545454545",40810
704403,"half_1","top",2346,"hsr",41,"5.26","6.99","7.71125",40810
704404,"half_1","top",2346,"sprint",41,"7.04","7.51","10.569210810810812",40810
704405,"half_1","middle",2347,"hsr",43,"5.54","7","23.147604395604393",40810
704406,"half_1","bottom",2347,"sprint",43,"6.99","7.61","26.498013043478263",40810
704407,"half_1","bottom",2346,"hsr",43,"5.56","7.24","9.328666666666669",40810
704408,"half_1","middle",2346,"hsr",45,"5.54","6.98","11.046542222222222",40810
704409,"half_1","top",2346,"sprint",45,"7.02","7.75","16.47132142857143",40810
704411,"half_2","bottom",2347,"hsr",9,"5.55","6.44","13.483250000000004",40810
704412,"half_2","top",2347,"hsr",12,"4.03","6.34","11.867016",40810
704413,"half_2","bottom",2346,"hsr",13,"5.52","6.8","42.43238323353294",40810
704414,"half_2","middle",2347,"hsr",19,"4.01","6.18","7.85555294117647",40810
704415,"half_2","middle",2347,"hsr",20,"5.55","6.13","9.22584",40810
704416,"half_2","bottom",2347,"hsr",22,"5.51","6.07","16.937556164383558",40810
704417,"half_2","middle",2346,"hsr",23,"5.54","6.69","18.067068493150686",40810
704419,"half_2","top",2346,"hsr",30,"5.51","5.66","12.298392857142856",40810
704420,"half_2","middle",2347,"hsr",30,"5.51","5.92","17.58028051948052",40810
704421,"half_2","bottom",2347,"hsr",30,"4.07","5.89","10.35469565217391",40810
704422,"half_2","middle",2347,"hsr",31,"5.51","5.63","6.4774400000000005",40810
704423,"half_2","middle",2347,"hsr",32,"5.51","6.35","18.804189743589742",40810
704424,"half_2","top",2347,"hsr",33,"5.55","6.6","14.15211724137931",40810
704425,"half_2","top",2346,"hsr",34,"5.52","5.72","6.1043142857142865",40810
704426,"half_2","top",2347,"hsr",37,"5.51","6.25","10.776913043478261",40810
704427,"half_2","top",2346,"hsr",40,"4.07","5.87","5.5165440000000014",40810
704428,"half_2","bottom",2347,"hsr",45,"5.51","6.82","27.825837837837835",40810
704429,"half_2","middle",2346,"hsr",49,"4.09","6.28","9.39471",40810
704430,"half_2","top",2346,"hsr",49,"4.02","6.52","13.579107142857142",40810
704431,"half_2","middle",2346,"hsr",50,"5.51","5.96","17.639501298701298",40810
737670,"half_1","bottom",2411,"sprint",7,"7.01","7.11","6.506316666666668",42155
737686,"half_2","middle",2410,"hsr",27,"4.01","6.97","6.313076923076924",42155
737688,"half_2","bottom",2411,"hsr",27,"5.55","6.99","8.052751515151517",42155
737665,"half_1","bottom",2410,"hsr",3,"5.53","6.21","10.02139534883721",42155
737666,"half_1","top",2411,"hsr",6,"5.51","6.63","15.477168253968248",42155
737667,"half_1","bottom",2410,"hsr",6,"5.53","6.34","15.002819047619049",42155
737668,"half_1","top",2411,"hsr",7,"4.04","6.05","10.069427272727271",42155
737669,"half_1","bottom",2411,"hsr",7,"5.55","7.11","38.9082119205298",42155
737671,"half_1","middle",2411,"hsr",12,"5.53","7.04","51.84548223350254",42155
737672,"half_1","middle",2410,"hsr",18,"4.03","5.98","7.4511515151515155",42155
737673,"half_1","bottom",2410,"hsr",23,"4.08","6.14","20.54312643678161",42155
737674,"half_1","bottom",2410,"hsr",28,"5.51","6.17","11.635736",42155
737675,"half_1","middle",2411,"hsr",30,"4.04","6.88","14.071357142857138",42155
737676,"half_1","bottom",2411,"hsr",36,"5.51","5.78","19.112075294117645",42155
737677,"half_1","bottom",2411,"hsr",39,"5.51","6.19","15.422333333333334",42155
737678,"half_1","middle",2411,"hsr",45,"5.53","6.07","10.351537777777779",42155
737679,"half_2","bottom",2411,"hsr",4,"5.52","6.12","17.95455584415584",42155
737680,"half_2","bottom",2411,"hsr",8,"5.53","7.06","25.275428571428574",42155
737681,"half_2","middle",2411,"hsr",10,"5.52","5.75","8.164021621621622",42155
737682,"half_2","middle",2411,"hsr",12,"4.04","6.15","10.424675555555554",42155
737683,"half_2","middle",2411,"hsr",12,"5.52","6.96","6.014208",42155
737684,"half_2","bottom",2411,"sprint",12,"7.01","7.3","7.198461538461539",42155
737685,"half_2","top",2411,"hsr",21,"4.02","6.36","11.4116",42155
737687,"half_2","middle",2410,"sprint",27,"7.01","7.5","13.776483333333333",42155
737689,"half_2","top",2410,"hsr",31,"4.01","6.35","8.725621621621622",42155
737690,"half_2","middle",2410,"hsr",32,"5.53","6.05","9.854176744186047",42155
737691,"half_2","bottom",2411,"sprint",40,"5.58","8.35","20.249599999999997",42155
737692,"half_2","bottom",2411,"hsr",48,"5.52","5.99","7.696376470588237",42155
674786,"half_2","top",2286,"sprint",20,"5.58","7.72","10.475888888888889",39490
674777,"half_2","middle",2287,"hsr",1,"5.51","5.78","4.7769272727272725",39490
674778,"half_2","middle",2286,"hsr",6,"4.04","6.26","9.118051282051283",39490
674779,"half_2","middle",2286,"sprint",8,"5.66","7.78","8.733253333333334",39490
674780,"half_2","middle",2287,"hsr",9,"5.51","6.02","13.782399999999997",39490
674781,"half_2","top",2286,"hsr",10,"5.53","6.49","11.565525000000001",39490
674782,"half_2","top",2286,"hsr",15,"5.54","5.85","4.591619047619047",39490
674783,"half_2","top",2287,"hsr",14,"4.02","7.2","32.024210852713175",39490
674784,"half_2","top",2287,"sprint",14,"7.02","7.2","5.99378181818182",39490
674785,"half_2","middle",2286,"hsr",19,"5.54","6.99","5.741183333333332",39490
674787,"half_2","top",2286,"hsr",17,"5.52","5.84","9.389780952380953",39490
674788,"half_2","middle",2287,"hsr",19,"5.51","5.63","4.472761904761905",39490
674789,"half_2","middle",2287,"sprint",20,"7.04","7.74","12.873809090909091",39490
674790,"half_2","middle",2287,"hsr",20,"5.57","6.99","5.542086956521739",39490
674791,"half_2","bottom",2286,"hsr",21,"5.53","5.82","6.629013333333335",39490
674792,"half_2","bottom",2286,"hsr",23,"5.53","6.78","19.840059999999998",39490
674793,"half_2","bottom",2287,"hsr",25,"4.01","6.06","7.978537142857143",39490
674794,"half_2","middle",2286,"hsr",26,"5.51","5.86","8.257427027027024",39490
674795,"half_2","top",2287,"hsr",29,"4.02","6.03","7.723164705882353",39490
674796,"half_2","bottom",2286,"hsr",31,"4.08","5.93","5.783461538461538",39490
674797,"half_2","bottom",2287,"hsr",33,"4.03","6.8","14.978526666666662",39490
674798,"half_2","top",2287,"hsr",36,"5.24","7","6.0192",39490
674799,"half_2","middle",2287,"hsr",36,"5.52","5.82","7.54224705882353",39490
674800,"half_2","top",2287,"sprint",36,"7.05","7.46","8.481146666666667",39490
674801,"half_2","middle",2286,"hsr",39,"5.55","6.61","14.200075862068966",39490
674802,"half_2","middle",2286,"hsr",39,"5.52","6.18","8.559048648648648",39490
674803,"half_2","middle",2286,"hsr",40,"5.52","6.17","10.453617777777776",39490
674804,"half_2","top",2287,"hsr",44,"4.11","6.26","10.57720888888889",39490
711690,"half_2","middle",2362,"hsr",48,"5.51","5.66","4.485333333333333",41177
711689,"half_2","middle",2362,"hsr",48,"5.52","6.17","11.602023999999998",41177
711691,"half_2","bottom",2362,"hsr",50,"5.51","5.83","17.398275324675325",41177
711692,"half_2","bottom",2362,"sprint",51,"5.56","7.83","13.302862222222222",41177
