position,minute_in,last15_sprints,last15_hsr,last15_distance,last15_mean_max_speed,last15_peak_speed,last15_shots,last15_shots_on_target,last15_shots_under_press,last15_shots_top_third,cumul_sprints,cumul_hsr,cumul_distance,cumul_mean_max_speed,cumul_peak_speed,cumul_shots,cumul_shots_on_target,cumul_shots_under_press,cumul_shots_top_third,last15_received_passes,cumul_received_passes,last15_action_accuracy,cumul_action_accuracy,last15_average_angle,cumul_average_angle,last15_sprint_dist,cumul_sprint_dist,last15_sprint_ratio,last15_fatigue,scored_after
M,0,3,10,140.27,6.84,9.44,0,0,0,0,12,30,531.38,6.884,9.88,0,0,0,0,0.0,0.0,0.6,0.5,-34.356898815430604,-19.84447517985183,57.692852737536015,212.66849442973003,0.4083871504037376,0.26347721552274694,0
M,0,0,9,120.65,6.128,6.64,0,0,0,0,3,25,376.9,6.48,8.44,2,1,2,2,0.0,0.0,1.0,0.5,-29.92830663877205,39.04767390743884,0.0,62.49783595818815,0.0,0.3192643556496428,0
D,0,3,4,109.61,7.51,8.79,0,0,0,0,6,22,345.42,6.761,8.79,1,1,0,1,0.0,0.0,1.0,0.42857142857142855,43.64516066442997,11.813349426808841,76.75725827160494,123.26512493827161,0.6939450164687184,0.3164078286473067,1
M,0,1,6,105.44,6.474,7.99,1,1,1,1,2,19,296.34,6.468,8.67,1,1,1,1,0.0,0.0,0.5555555555555556,0.6470588235294118,-22.250409647829912,-18.093538295235728,20.540623529411764,44.21274785373609,0.1929784247408095,0.35461088316405465,0
G,0,0,0,0.0,0.0,0.0,0,0,0,0,0,2,19.81,9.405,12.02,0,0,0,0,0.0,0.0,1.0,1.0,-16.90843716191842,-16.90843716191842,0.0,0.0,0.0,0.0,0
D,0,3,12,189.89,6.642,8.02,0,0,0,0,11,26,508.58,6.955,9.48,1,1,1,1,1.0,5.0,1.0,1.0,40.17108182545368,21.946778895570773,67.54436830917874,249.30450747276487,0.3538392179222523,0.3726402135091644,0
D,0,1,3,57.41,6.697,7.76,0,0,0,0,3,12,192.17,6.673,8.62,0,0,0,0,1.0,2.0,1.0,0.8125,-44.773602432990316,-35.08804447290814,11.70819,46.41010014492753,0.20044838212634825,0.29719935807837655,0
D,0,1,3,44.05,6.398,7.39,0,0,0,0,4,16,225.03,6.457,8.03,1,0,1,1,1.0,2.0,1.0,1.0,66.35612464741202,63.434249041469585,7.5604148148148145,35.34249010893246,0.16782274838656636,0.19488563465026765,1
M,0,1,2,58.08,7.197,8.83,0,0,0,0,4,12,202.15,6.72,8.83,0,0,0,0,3.0,9.0,0.75,0.6818181818181818,-17.643300277491928,-23.61918928577564,21.27981818181818,64.34416547780577,0.36018649596848645,0.2858971203544179,0
M,0,4,3,125.99,7.766,9.21,1,0,1,1,7,12,276.7,7.201,9.29,2,1,1,2,1.0,7.0,0.0,0.42857142857142855,0.0,-25.439545217636947,100.15177533226269,145.17764978042322,0.7886587552741373,0.453691033489377,0
M,0,3,4,102.79,7.146,8.53,0,0,0,0,5,11,214.33,6.844,8.53,1,0,1,1,1.0,8.0,1.0,0.7619047619047619,-13.084047174402803,-3.6786706590182696,42.82398659890834,83.1771650260882,0.4126022410531683,0.4773603306552733,0
A,0,2,7,127.27,6.671,8.73,0,0,0,0,9,21,369.96,6.875,8.73,1,1,1,1,0.0,0.0,0.5,0.36363636363636365,-45.440294652101024,-39.08558026767568,44.92801184917043,121.91045131657,0.35026126022585513,0.34308281216303643,0
M,0,0,5,57.61,6.318,6.87,1,1,1,1,1,27,318.1,6.267,7.24,1,1,1,1,2.0,9.0,0.7142857142857143,0.5882352941176471,15.441347381170278,9.305500366071145,0.0,17.210360655737706,0.0,0.18053901598245062,0
M,0,2,5,98.5,6.827,7.98,0,0,0,0,7,16,323.63,6.935,8.32,0,0,0,0,2.0,7.0,0.0,0.4,0.0,20.399908887502143,21.55199160839161,93.79136962270843,0.21660293073760412,0.30342235776114346,0
D,0,1,10,138.75,6.46,7.29,0,0,0,0,8,21,373.81,6.851,8.92,0,0,0,0,1.0,5.0,0.6666666666666666,0.6,68.15886703769503,1.8233464630835043,11.79394285714286,129.61842667460695,0.08439315103501152,0.37018756169792694,0
G,0,0,0,0.0,0.0,0.0,0,0,0,0,1,1,19.05,8.645,10.29,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.93474,0.0,0.0,0
D,0,0,5,107.35,6.17,6.84,0,0,0,0,4,17,280.04,6.553,7.69,0,0,0,0,0.0,0.0,1.0,0.6363636363636364,-18.96792681364924,38.25407596032415,0.0,40.70512230706075,0.0,0.38197409621406203,0
D,0,0,2,32.2,6.965,7.13,0,0,0,0,4,16,271.93,6.933,8.53,0,0,0,0,0.0,0.0,0.0,0.6,0.0,-54.61656305297053,0.0,59.114161765769346,0.0,0.11797896896640164,0
D,0,3,3,88.65,7.22,8.51,0,0,0,0,5,17,323.67,6.88,9.24,0,0,0,0,0.0,0.0,0.3333333333333333,0.4666666666666667,-30.791339861927423,-28.759019176833977,40.385247268947275,86.0955819473836,0.45047682397041017,0.2730464779622386,0
A,0,2,11,159.52,6.616,8.05,0,0,0,0,10,37,518.12,6.626,8.25,0,0,0,0,1.0,1.0,1.0,0.4444444444444444,35.38451811434472,-7.898809623159554,44.99932130572132,134.53956641266785,0.2803346704816927,0.30728925874556945,0
M,0,5,9,238.39,7.159,8.87,1,1,0,1,11,32,575.66,6.822,8.87,2,2,1,2,2.0,4.0,0.0,0.42857142857142855,0.0,-8.45014109802249,119.32334800203026,204.31144588868747,0.4984475040813328,0.41339784274962715,0
M,0,1,10,125.73,6.254,7.69,0,0,0,0,4,31,472.78,6.541,9.09,0,0,0,0,1.0,4.0,0.0,0.42857142857142855,0.0,-23.538750354516683,15.536030188679243,61.027020161578974,0.12259157412356382,0.26537633500780955,0
M,0,4,9,196.11,6.991,9.34,0,0,0,0,16,39,727.49,6.909,9.88,0,0,0,0,1.0,1.0,0.3333333333333333,0.45454545454545453,-25.742861869518883,-21.319071852268593,105.37102420599874,318.03951863572877,0.5345797991273844,0.26920067536960013,0
M,0,1,11,155.44,6.394,9.02,0,0,0,0,4,36,532.34,6.455,9.02,2,1,2,2,0.0,0.0,0.0,0.42857142857142855,0.0,39.04767390743884,25.128166233766237,87.62600219195438,0.1606249439642434,0.2914463569205385,0
D,0,1,8,89.45,6.461,7.69,1,1,1,1,7,30,434.87,6.688,8.79,2,2,1,2,2.0,4.0,0.0,0.3333333333333333,0.0,11.813349426808841,17.285966101694918,140.55109103996654,0.19111073633714667,0.2052217404271916,0
M,0,1,4,97.52,7.022,8.32,0,0,0,0,3,23,393.86,6.575,8.67,1,1,1,1,1.0,2.0,0.0,0.6470588235294118,0.0,-18.093538295235728,46.781232,90.99397985373609,0.4748399512789282,0.24697361090006584,0
G,0,0,0,0.0,0.0,0.0,0,0,0,0,0,2,19.81,9.405,12.02,0,0,0,0,0.0,0.0,0.0,1.0,0.0,-16.90843716191842,0.0,0.0,0.0,0.0,0
D,0,5,9,271.79,7.277,8.87,0,0,0,0,16,35,780.37,7.044,9.48,1,1,1,1,1.0,6.0,0.5,0.8181818181818182,47.741480317396885,28.395454251027303,94.8464871701848,344.1509946429497,0.3476904841459907,0.34783777211820266,0
D,0,1,5,99.44,6.795,8.26,0,0,0,0,4,17,291.61,6.708,8.62,0,0,0,0,1.0,3.0,0.0,0.8125,0.0,-35.08804447290814,13.726044444444444,60.13614458937198,0.13665914420992079,0.3398380096374013,0
D,0,1,6,95.21,6.693,7.45,0,0,0,0,5,22,320.24,6.518,8.03,1,0,1,1,0.0,0.0,0.0,1.0,0.0,63.43424904146958,11.674146341463413,47.01663645039587,0.12134025923982344,0.2963827667787324,1
M,0,0,4,85.97,6.015,6.47,0,0,0,0,4,16,288.12,6.579,8.83,0,0,0,0,1.0,10.0,0.0,0.6521739130434783,0.0,-23.61918928577564,0.0,64.34416547780577,0.0,0.2973505810736026,0
M,0,2,6,146.33,7.312,9.26,0,0,0,0,9,18,423.03,7.234,9.29,2,1,1,2,0.0,0.0,0.0,0.4,0.0,-25.439545217636947,68.64980309034031,213.82745287076352,0.46595943182203425,0.3450935075348443,0
M,0,2,4,112.4,7.502,9.26,0,0,0,0,7,15,326.74,7.024,9.26,1,0,1,1,0.0,0.0,1.0,0.8076923076923077,-15.005756308709564,-6.375595813706674,56.09738839285714,139.27455341894535,0.4946859646636432,0.342954781229023,0
A,0,4,4,114.31,7.068,7.96,0,0,0,0,13,25,484.27,6.916,8.73,1,1,1,1,0.0,0.0,0.5,0.38461538461538464,85.469576075605,-14.174548999019546,40.76617010491775,162.67662142148774,0.3535354271521789,0.23555958538545554,0
M,0,0,6,131.27,6.408,6.9,0,0,0,0,7,22,454.9,6.826,8.32,0,0,0,0,0.0,0.0,0.25,0.3333333333333333,75.16475938713988,38.65485905404805,0.0,93.79136962270843,0.0,0.2879359508664181,0
M,1,0,2,57.72,6.345,6.89,0,0,0,0,0,2,57.72,6.345,6.89,0,0,0,0,0.0,0.0,0.3333333333333333,0.3333333333333333,37.782966025194,37.782966025194,0.0,0.0,0.0,0.9829700272479565,0
D,1,4,7,140.58,7.222,8.44,0,0,0,0,4,7,140.58,7.222,8.44,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,62.939720964235875,62.939720964235875,0.44455234471137073,0.9929368554880633,0
G,0,0,0,0.0,0.0,0.0,0,0,0,0,1,1,19.05,8.645,10.29,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.93474,0.0,0.0,0
D,0,0,4,33.63,6.112,6.89,0,0,0,0,4,21,313.67,6.482,7.69,0,0,0,0,0.0,0.0,0.0,0.6363636363636364,0.0,38.25407596032415,0.0,40.70512230706075,0.0,0.10687386786156927,0
D,0,0,2,17.89,6.215,6.73,0,0,0,0,4,18,289.83,6.868,8.53,0,0,0,0,0.0,0.0,1.0,0.6666666666666666,0.0,-54.61656305297053,0.0,59.114161765769346,0.0,0.061513599009730774,0
D,0,1,5,45.53,6.317,7.49,0,0,0,0,6,22,369.2,6.759,9.24,0,0,0,0,1.0,3.0,0.0,0.4375,0.0,-28.759019176833977,11.130297435897434,97.22587938328103,0.23920690814307832,0.12298757428417073,0
A,0,2,7,139.99,6.631,8.19,0,0,0,0,12,44,658.11,6.627,8.25,0,0,0,0,0.0,0.0,0.0,0.3333333333333333,0.0,-7.898809623159554,45.58983886535274,180.12940527802058,0.3233551235219004,0.21239246863194308,0
M,0,1,6,88.69,6.649,7.34,0,0,0,0,12,38,664.35,6.798,8.87,2,2,1,2,0.0,0.0,0.2,0.3684210526315789,-72.34679075410662,-17.57823390603451,6.6512166666666666,210.96266255535414,0.07415783996729476,0.13329826407154127,0
M,0,0,5,67.2,6.232,6.93,0,0,0,0,4,36,539.99,6.502,9.09,0,0,0,0,0.0,0.0,0.0,0.42857142857142855,0.0,-23.538750354516683,0.0,61.027020161578974,0.0,0.12421671380247325,0
M,0,3,8,118.25,6.949,8.15,0,0,0,0,19,47,845.74,6.916,9.88,0,0,0,0,0.0,0.0,0.3333333333333333,0.42857142857142855,0.0,-21.319071852268593,49.01233165501166,367.05185029074045,0.41100487761016063,0.1396532583791955,0
M,0,2,6,110.19,6.916,8.27,1,0,1,1,6,42,642.53,6.531,9.02,3,1,3,3,2.0,3.0,0.6666666666666666,0.5,-72.80419199238841,-5.693072452492061,48.62703862745098,136.25304081940538,0.4373328413297147,0.17122744860379469,0
D,0,0,6,91.56,6.033,6.3,0,0,0,0,7,36,526.43,6.597,8.79,2,2,1,2,0.0,0.0,0.0,0.3333333333333333,0.0,11.813349426808841,0.0,140.55109103996654,0.0,0.17359649621750756,0
M,0,1,4,70.37,6.964,7.26,0,0,0,0,4,27,464.23,6.637,8.67,1,1,1,1,0.0,0.0,1.0,0.6666666666666666,-22.063438254376248,-18.45443829152123,9.47449411764706,100.46847397138315,0.13275177410182232,0.151258517292522,0
G,0,0,0,0.0,0.0,0.0,0,0,0,0,0,2,19.81,9.405,12.02,0,0,0,0,0.0,0.0,0.0,1.0,0.0,-16.90843716191842,0.0,0.0,0.0,0.0,0
D,0,4,11,196.97,6.793,7.71,0,0,0,0,20,46,977.34,6.987,9.48,1,1,1,1,1.0,7.0,0.5,0.7692307692307693,48.21375569913933,30.597487745261972,56.51081661634757,400.6618112592972,0.2854514149434135,0.20133082568432242,0
D,0,0,5,69.98,6.056,6.55,0,0,0,0,4,22,361.59,6.583,8.62,0,0,0,0,1.0,4.0,0.0,0.8125,0.0,-35.08804447290814,0.0,60.13614458937198,0.0,0.1930003585316749,0
D,0,0,3,41.19,6.303,7.09,0,0,0,0,5,25,361.43,6.497,8.03,1,0,1,1,1.0,3.0,0.75,0.875,55.782970259675416,60.883822780871526,0.0,47.01663645039587,0.0,0.11364953232348314,1
M,0,1,5,50.66,6.52,7.74,1,1,1,1,5,21,338.77,6.565,8.83,1,1,1,1,2.0,12.0,0.5,0.6296296296296297,-42.21052307454372,-24.781147647573643,16.771312280701753,81.11547775850752,0.32464793419864024,0.14910086234805897,0
M,0,0,6,65.03,6.155,6.66,0,0,0,0,9,24,488.05,7.038,9.29,2,1,1,2,2.0,9.0,0.5,0.4117647058823529,-68.84673666630955,-31.640572567447318,0.0,213.82745287076352,0.0,0.13297208874348226,0
M,0,1,4,55.48,6.572,7.33,0,0,0,0,8,19,382.22,6.94,9.26,1,0,1,1,0.0,0.0,1.0,0.8214285714285714,1.2729822707767013,-5.710502067229858,17.300065573770492,156.57461899271584,0.3063042771559932,0.14477323730494232,0
M,1,3,12,165.64,6.691,7.5,0,0,0,0,3,12,165.64,6.691,7.5,0,0,0,0,3.0,3.0,0.5,0.5,-55.036407700774326,-55.036407700774326,37.30893932154802,37.30893932154802,0.22388945824260695,0.9939990398463754,0
A,1,1,7,82.14,6.54,7.75,1,0,1,1,1,7,82.14,6.54,7.75,1,0,1,1,1.0,1.0,0.0,0.0,0.0,0.0,13.184355555555555,13.184355555555555,0.1585801726672547,0.9879720952610055,0
M,1,1,12,158.58,6.368,7.29,1,1,1,1,1,14,216.3,6.365,7.29,1,1,1,1,3.0,3.0,0.0,0.1111111111111111,0.0,37.782966025194,9.78617142857143,9.78617142857143,0.06132454836803753,0.7297745052922228,0
D,1,3,10,147.06,6.768,7.94,0,0,0,0,7,17,287.64,6.976,8.44,0,0,0,0,2.0,2.0,1.0,1.0,25.981837883444264,25.981837883444264,40.314549464629316,103.2542704288652,0.2722852185913097,0.5094927937915743,0
G,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
D,0,2,8,108.22,6.738,7.34,0,0,0,0,2,8,108.22,6.738,7.34,0,0,0,0,4.0,4.0,0.75,0.75,16.446707840412984,16.446707840412984,19.273516638655465,19.273516638655465,0.17646508550316303,0.9908441677348471,0
D,0,1,8,152.86,6.57,8.24,0,0,0,0,1,8,152.86,6.57,8.24,0,0,0,0,2.0,2.0,0.8,0.8,-15.597833149932036,-15.597833149932036,16.538748148148148,16.538748148148148,0.10749218866598301,0.9935005849473547,0
